intellij-idea: ide maven gradle debugging scala android-studio intellij-plugin junit tomcat intellij-13 
jax-rs: jersey rest resteasy cxf jersey-2.0 web-services jaxb jackson json apache-wink 
user-interface: swing jframe jpanel awt layout swt netbeans jbutton actionlistener javafx 
